first_name,last_name,birth_year,birth_country,id,edited_first,edited_last
Jim,Poole,1966.0,USA,pooleji02,jim,poole
Ray,Poole,1920.0,USA,poolera01,ray,poole
Tom,Poorman,1857.0,USA,poormto01,tom,poorman
Zach,Pop,1996.0,CAN,popza01,zach,pop
Dave,Pope,1921.0,USA,popeda01,dave,pope
Paul,Popovich,1940.0,USA,popovpa01,paul,popovich
Eddie,Popowski,1913.0,USA,popowed99,eddie,popowski
Bill,Popp,1877.0,USA,poppbi01,bill,popp
Sean,Poppen,1994.0,USA,poppese01,sean,poppen
George,Popplein,1840.0,USA,popplge01,george,popplein
Tom,Poquette,1951.0,USA,poqueto01,tom,poquette
Rick,Porcello,1988.0,USA,porceri01,rick,porcello
Aaron,Poreda,1986.0,USA,poredaa01,aaron,poreda
Ed,Porray,1888.0,At Sea,porraed01,ed,porray
Bo,Porter,1972.0,USA,portebo03,bo,porter
Bob,Porter,1959.0,USA,portebo02,bob,porter
Chuck,Porter,1955.0,USA,portech01,chuck,porter
Colin,Porter,1975.0,USA,porteco01,colin,porter
Dan,Porter,1931.0,USA,porteda01,dan,porter
Darrell,Porter,1952.0,USA,porteda02,darrell,porter
Dick,Porter,1901.0,USA,portedi01,dick,porter
Henry,Porter,1858.0,USA,portehe01,henry,porter
Irv,Porter,1888.0,USA,porteir01,irv,porter
Jay,Porter,1933.0,USA,porteja01,jay,porter
Logan,Porter,1995.0,USA,portelo01,logan,porter
Matthew,Porter,1858.0,USA,portema01,matthew,porter
Ned,Porter,1905.0,USA,portene01,ned,porter
Odie,Porter,1877.0,USA,porteod01,odie,porter
Bob,Porterfield,1923.0,USA,portebo01,bob,porterfield
Al,Porto,1926.0,USA,portoal01,al,porto
Arnie,Portocarrero,1931.0,USA,portoar01,arnie,portocarrero
Mark,Portugal,1962.0,USA,portuma01,mark,portugal
Mike,Porzio,1972.0,USA,porzimi01,mike,porzio
Jorge,Posada,1970.0,P.R.,posadjo01,jorge,posada
Leo,Posada,1934.0,Cuba,posadle01,leo,posada
Scott,Pose,1967.0,USA,posesc01,scott,pose
Bill,Posedel,1906.0,USA,posedbi01,bill,posedel
Bob,Poser,1910.0,USA,poserbo01,bob,poser
Buster,Posey,1987.0,USA,poseybu01,buster,posey
Cum,Posey,1890.0,USA,poseycu99,cum,posey
Lou,Possehl,1926.0,USA,posselo01,lou,possehl
Lew,Post,1875.0,USA,postle01,lew,post
Sam,Post,1896.0,USA,postsa01,sam,post
Wally,Post,1929.0,USA,postwa01,wally,post
Lou,Pote,1971.0,USA,potelo01,lou,pote
Cody,Poteet,1994.0,USA,poteeco01,cody,poteet
Nellie,Pott,1899.0,USA,pottne01,nellie,pott
Dykes,Potter,1910.0,USA,pottedy01,dykes,potter
Mike,Potter,1951.0,USA,pottemi01,mike,potter
Nels,Potter,1911.0,USA,pottene01,nels,potter
Squire,Potter,1902.0,USA,pottesq01,squire,potter
John,Potts,1887.0,USA,pottsjo01,john,potts
Mike,Potts,1970.0,USA,pottsmi01,mike,potts
Vivian,Potts,1869.0,USA,pottsda01,vivian,potts
Ken,Poulsen,1947.0,USA,poulske01,ken,poulsen
Brooks,Pounders,1990.0,USA,poundbr01,brooks,pounders
Bill,Pounds,1878.0,USA,poundbi01,bill,pounds
Cade,Povich,2000.0,USA,povicca01,cade,povich
Max,Povse,1993.0,USA,povsema01,max,povse
Abner,Powell,1860.0,USA,powelab01,abner,powell
Alonzo,Powell,1964.0,USA,powelal01,alonzo,powell
Bill,Powell,1885.0,USA,powelbi01,bill,powell
Bob,Powell,1933.0,USA,powelle01,bob,powell
Boog,Powell,1993.0,USA,powelbo02,boog,powell
Boog,Powell,1941.0,USA,powelbo01,boog,powell
Brian,Powell,1973.0,USA,powelbr01,brian,powell
Dante,Powell,1973.0,USA,powelda01,dante,powell
Dennis,Powell,1963.0,USA,powelde01,dennis,powell
